title,minDesc,city,surface,pieces,chambres,salles_de_bains,desc,tagProp,caracterestics,price,longitude,latitude,link
,,Al Qods àCasablanca,"140
						m²",6 Pièces,5 Chambres,2 Salles de bains,"Bel appartement spacieux, Bien ensolleie' dans une residence fermee avec parking 
5 chambres, double salon, cuisine equipee, 3 facades avec vues sur jardins ,2 terrasses , tres bon voisinage, tres bon emplacement proches des supermarches , ecoles, plage, acces directe a' l'autouroute Casa- Rabat",[],[],1 050 000 DH,-7.477707903710411,33.62030674924499,https://www.mubawab.ma/fr/a/8155736/bel-appartement-spacieux-bien-ensolleie-a-vendre
,,Mhamid àMarrakech,"85
						m²",4 Pièces,3 Chambres,,"Faites une belle affaire en achetant cet appartement. Prix 840 000 DH. 3 chambres, 1 salle de bains, superficie 85 m². 4 pièces lumineuses. Nouveau. Meublé.Cet appartement est en vente à Mhamid, Marrakech. Équipé d'une porte blindée. La résidence est sécurisée. Cuisine entièrement équipée.",[],[],840 000 DH,-8.056647777557375,31.579102113682957,https://www.mubawab.ma/fr/pa/8024256/vente-d-un-bel-appartement-%C3%A0-mhamid-3-chambres-agr%C3%A9ables
,,Aïn Sebaâ àCasablanca,"99
						m²",4 Pièces,3 Chambres,2 Salles de bains,"Projet saint mets en vente ce magnifique appartement d’une superficie 99 m², situé dans un emplacement calme à Ain Sebaa bd Chefchaouni près de clinique Akdital.
Situé dans une résidence calme et bien entretenue, cet appartement est agrémenté par un bon agencement, se compose de :
* Un double salon
* Trois chambres dont une suite parentale
* Deux balcon
* Une cuisine
* Deux salles de bain
* Une place au garage titrée
*Livraison immédiate
*Pour plus d'information contactez-nous au 06 69 64 50 44",[],[],1 069 200 DH,-7.521002202834336,33.62305765170351,https://www.mubawab.ma/fr/pa/8046418/appartement-%C3%A0-vendre-%C3%A0-a%C3%AFn-seba%C3%A2-superficie-99-m%C2%B2-
,,El Mdrassi àTétouan,"160
						m²",3 Pièces,2 Chambres,2 Salles de bains,"Ne laissez pas passer cet appartement à vendre. Prix 180 0000 DH. 3 pièces, 2 salles de bains, 160 m². 2 chambres à coucher. 4ème étage. Moins de 5 ans. Type de sol: Marbre. Profitez d'une vue magnifique sur les montagnes et du calme absolu avec fenêtres en double vitrage. Porte blindée et chauffage central.Venez découvrir cet appartement à vendre à El Mdrassi. Résidence sécurisée et antenne parabolique. Le bien dispose également d'un beau salon marocain traditionnel. Confort et sécurité avec service de conciergerie et climatisation.Programmez dès maintenant votre visite pour cet appartement d'exception à Tétouan. Jardin et ascenseur. Cuisine entièrement équipée. Four encastré.",[],[],180 000 EUR,-5.3861893688073454,35.56722152560593,https://www.mubawab.ma/fr/a/8195913/appartement-%C3%A0-vendre-%C3%A0-zone-al-hamama-2-chambres-espaces-verts-et-ascenseur
,,Ferme Bretonne (Hay Arraha) àCasablanca,"82
						m²",2 Pièces,2 Chambres,2 Salles de bains,"Ce magnifique appartement alliant confort, modernité et luminosité, idéalement situé proche des grands axes principaux (Oasis, maarif Californie).
Grâce à son exposition plein sud, vous profitez d’un ensoleillement optimal toute la journée. Cet appartement est en vente à Ferme Bretonne (Hay Arraha). Climatisation. Confortable salon européen.

Programmez dès maintenant votre visite pour cet appartement d'exception à Casablanca.",[],[],1 690 000 DH,-7.644893733441035,33.55140463772568,https://www.mubawab.ma/fr/a/8199428/coup-de-c%C5%93ur-appartement-lumineux-%C3%A0-ferme-bretonne-orient%C3%A9-sud-tres-bien-agenc%C3%A9
,,Ain Diab Extension àCasablanca,"116
						m²",6 Pièces,2 Chambres,2 Salles de bains,"Appartement à vendre – Commune d’Anfa, Résidence 134 Square
Superbe appartement de 80 m² habitable  20 m² terrasses/balcons, au 7ème étage sur 8.
Composition : 2 chambres, 1 salon, 1 cuisine équipée, 1 salle de bain  1 salle d’eau, 2 terrasses, et 1 place de parking titrée (15 m²).

Double façade Est/Ouest, vue mer et jardin sans vis-à-vis.
Résidence haut standing fermée avec piscine, salle de sport et espaces verts.
 Emplacement stratégique : 5 min du Morocco Mall, 3 min de la rocade sud-ouest.",[],[],1 750 000 DH,-7.746672494123515,33.54801011924724,https://www.mubawab.ma/fr/a/8202946/appartement-2-chambre-terrasse-vue-mer-%C3%A0-anfa-extension-surface-tf-de-115-m%C2%B2
,,Californie àCasablanca,"145
						m²",4 Pièces,3 Chambres,2 Salles de bains,"Opportunité unique pour cet appartement à vendre. Prix 1 800 000 DH. 4 pièces, 2 salles de bains, 145 m². 3 chambres à coucher. Nouveau. Nombreux équipements dont climatisation et piscine. La résidence dispose également d'un service de conciergerie,.Idéal si vous souhaitez acheter un appartement à Californie. Vous profiterez d'une belle terrasse. Un ascenseur et un garage sont également à votre disposition. Confort et tradition avec un beau salon marocain. Le bien dispose également d'une antenne parabolique et la résidence est sécurisée.Soyez le premier à visiter cet appartement en vente à Casablanca. Spacieux salon européen. Calme garanti avec double vitrage. Cuisine entièrement équipée.À proximité: boutiques à 150 mètres, établissements scolaires à 200 mètres, gare et transports publics à 350 mètres, pharmacie à 450 mètres, librairie à 500 mètres, supermarché à 550 mètres, centre commercial à 950 mètres, cafés et restaurants à 2.1 kilomètres, hôpitaux à 2.9 kilomètres.",[],[],1 800 000 DH,-7.594785573978908,33.52569770831404,https://www.mubawab.ma/fr/pa/8106469/vente-d-un-bel-appartement-%C3%A0-californie-surface-de-145-m%C2%B2
,,Victoria àBouskoura,"80
						m²",,2 Chambres,2 Salles de bains,"Découvrez cet appartement à vendre. Prix 800 000 DH. 2 chambres, 2 salles de bains, surface 80 m². 1 Pièces. Nouveau. Sécurité assurée.Cet appartement est proposé à la vente à Bouskoura.",[],[],800 000 DH,-7.676236042306896,33.4219887056381,https://www.mubawab.ma/fr/pa/7882217/bel-appartement-%C3%A0-vendre-%C3%A0-bouskoura-surface-de-80-m%C2%B2
,,Guéliz àMarrakech,"56
						m²",2 Pièces,,,"Appartement haut standing à vendre à Gueliz – 1 008 000 DH

Venez découvrir ce magnifique appartement haut standing de 56 m², situé dans le quartier prestigieux de Gueliz, Marrakech. Offrant 1 chambre spacieuse, 1 salle de bains raffinée et 2 pièces lumineuses, cet appartement neuf incarne le confort moderne et l'élégance. Idéal pour une vie citadine ou un investissement de qualité, il allie design contemporain et fonctionnalité.

Caractéristiques de l'appartement :

Superficie : 56 m²
1 chambre luxueuse
1 salle de bains moderne et élégante
2 pièces lumineuses et spacieuses
Appartement neuf, avec des finitions de haute qualité
Parfait pour une vie confortable et pratique
Emplacement privilégié : Ce bien est situé à Guéliz, l'un des quartiers les plus prisés de Marrakech. À proximité immédiate des commerces, restaurants haut de gamme et attractions de la ville, cet appartement bénéficie d’une localisation idéale pour profiter pleinement de la vie marocaine tout en étant dans un environnement calme et sécurisé.

Contactez nous dès aujourd'hui pour organiser une visite et découvrir ce bien d'exception, parfait pour les plus exigeants !",[],[],1 008 000 DH,-8.025807338946542,31.63226056094976,https://www.mubawab.ma/fr/pa/8068873/appartement-haut-standing-%C3%A0-vendre-%C3%A0-gu%C3%A9liz
,,Plage Oued Cherrat àBouznika,"77
						m²",3 Pièces,2 Chambres,,"Découvrez cet appartement à vendre. Prix 1 300 000 DH. 2 chambres, 1 salon, un séjour avec cheminée, 2 salles de bains, surface 77 m². 3 pièces lumineuses. Nouveau. Ascenseur dans la résidence.

Cet appartement est en vente à Plage Oued Cherrat, Bouznika. piscine, hotel et restaurant.",[],[],1 250 000 DH,-7.158708572387695,33.78991919646141,https://www.mubawab.ma/fr/pa/8059625/appartement-%C3%A0-vendre-%C3%A0-plage-oued-cherrat-2-chambres-agr%C3%A9ables
